,App Name,App Id,Category,Developer Id,Developer Website,Developer Email,Content Rating,Ad Supported,In App Purchases
1,Google Play services,com.google.android.gms,Tools,Google LLC,https://developers.google.com/android/google-play-services/,apps-help@google.com,Everyone,FALSE,FALSE
2,YouTube,com.google.android.youtube,Video Players & Editors,Google LLC,https://support.google.com/youtube/topic/2422554?rd=1,ytandroid-support@google.com,Teen,TRUE,FALSE
3,Google,com.google.android.googlequicksearchbox,Tools,Google LLC,https://www.google.com/search/about/,apps-help@google.com,Everyone,TRUE,FALSE
4,Google Maps - Navigate & Explore,com.google.android.apps.maps,Travel & Local,Google LLC,http://maps.google.com/about/,apps-help@google.com,Everyone,TRUE,FALSE
5,Google Text-to-Speech,com.google.android.tts,Tools,Google LLC,http://www.google.com/,tts-feedback@google.com,Everyone,FALSE,FALSE
6,Google Chrome: Fast & Secure,com.android.chrome,Communication,Google LLC,http://www.google.com/chrome/android,apps-help@google.com,Everyone,FALSE,FALSE
7,Gmail,com.google.android.gm,Communication,Google LLC,http://support.google.com/mail/bin/topic.py?hl=en&topic=2451697&parent=2451730&ctx=topic,apps-help@google.com,Everyone,TRUE,FALSE
8,Android Accessibility Suite,com.google.android.marvin.talkback,Tools,Google LLC,https://developer.android.com/guide/topics/ui/accessibility,apps-help@google.com,Everyone,FALSE,FALSE
9,Google Drive,com.google.android.apps.docs,Productivity,Google LLC,https://support.google.com/drive/?p=android_drive_help,apps-help@google.com,Everyone,FALSE,TRUE
10,Facebook,com.facebook.katana,Social,Facebook,https://www.facebook.com/facebook,facebook.android@fb.com,Teen,TRUE,TRUE
11,WhatsApp Messenger,com.whatsapp,Communication,WhatsApp LLC,http://www.whatsapp.com/,android@support.whatsapp.com,Everyone,FALSE,FALSE
12,Google TV (previously Play Movies & TV),com.google.android.videos,Video Players & Editors,Google LLC,http://support.google.com/googleplay,apps-help@google.com,Teen,FALSE,FALSE
13,Google Photos,com.google.android.apps.photos,Photography,Google LLC,https://support.google.com/photos,apps-help@google.com,Everyone,FALSE,FALSE
14,Messenger – Text and Video Chat for Free,com.facebook.orca,Communication,Facebook,https://www.facebook.com/games/fbmessenger_android/,android-support@fb.com,Everyone,FALSE,TRUE
15,Hangouts,com.google.android.talk,Communication,Google LLC,https://support.google.com/hangouts/?p=androidhelp,apps-help@google.com,Everyone,FALSE,FALSE
16,Android System WebView,com.google.android.webview,Tools,Google LLC,http://www.android.com,apps-help@google.com,Everyone,FALSE,FALSE
17,Google Play Games,com.google.android.play.games,Entertainment,Google LLC,http://play.google.com/store/apps/category/GAME,googleplay-support@google.com,Teen,FALSE,FALSE
18,Samsung Push Service,com.sec.spp.push,Communication,"Samsung Electronics Co.,  Ltd.",https://samsung.com,noreply.sec@samsung.com,Everyone,FALSE,FALSE
19,Google Duo - High Quality Video Calls,com.google.android.apps.tachyon,Communication,Google LLC,https://google.com/,apps-help@google.com,Everyone,FALSE,FALSE
20,Currents,com.google.android.apps.plus,Social,Google LLC,https://support.google.com/plus/?hl=en#topic=6320382,apps-help@google.com,Teen,FALSE,FALSE
